Type,Start,End,Name,Calendar,Location,Description,"Hebrew Date",Owner,Contact,Status,"Admin Note","Event ID","Additional Occurrence of Event ID","Resource Of","Resource Quantity","Resource Of Event ID","Resource Of Schedule ID"
Sunset,"2025-07-04 20:29:52",,Sunset,,,,"8 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-04 03:41:28",,"Alos Hashachar",,,,"8 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-04 04:27:08",,"Earliest Tallis",,,,"8 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-04 05:29:10",,"Netz (Sunrise)",,,,"8 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-04 09:14:00",,"Latest Shema",,,,"8 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-04 10:29:24",,"Zman Tefillah",,,,"8 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-04 12:59:31",,"Chatzos (Midday)",,,,"8 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-04 13:37:02",,"Mincha Gedola",,,,"8 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-04 17:22:13",,"Mincha Ketana",,,,"8 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-04 18:56:02",,"Plag HaMincha",,,,"8 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-04 20:29:52",,"Shkiah (Sunset)",,,,"8 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-04 21:19:53",,"Tzais Hakochavim",,,,"8 Tammuz 5785",,,,,,,,,,
"Schedule Rule","2025-07-05 08:45:00",,"Youth Groups",Youth,,,"9 Tammuz 5785",,,confirmed,,118947,,,,,
"Schedule Rule","2025-07-05 08:45:00",,Shacharis,,,,"9 Tammuz 5785",,,confirmed,,114844,,,,,
"Schedule Rule","2025-07-05 09:14:42",,"Zman Krias Shma",,,,"9 Tammuz 5785",,,confirmed,,114101,,,,,
"Schedule Rule","2025-07-05 10:15:00",,"Mommy and Me",Youth,,,"9 Tammuz 5785",,,confirmed,,118948,,,,,
"Schedule Rule","2025-07-05 19:30:00",,Mincha,,,,"9 Tammuz 5785",,,confirmed,,114102,,,,,
"Schedule Rule","2025-07-05 20:29:00",,Shkia,,,,"9 Tammuz 5785",,,confirmed,,121564,,,,,
"Schedule Rule","2025-07-05 20:50:00",,"Eretz Yisrael Seder",,,,"9 Tammuz 5785",,,confirmed,,126930,,,,,
"Schedule Rule","2025-07-05 21:19:00",,Havdalah,,,,"9 Tammuz 5785",,,confirmed,,,,,,,
"Schedule Rule","2025-07-05 21:20:00",,Maariv,,,,"9 Tammuz 5785",,,confirmed,,114104,,,,,
Parsha,2025-07-05,,"Parshas Chukas",,,,"9 Tammuz 5785",,,,,,,,,,
"Hebrew Date",2025-07-05,,"9 Tammuz 5785",,,,"9 Tammuz 5785",,,,,,,,,,
Sunrise,"2025-07-05 05:29:44",,Sunrise,,,,"9 Tammuz 5785",,,,,,,,,,
Sunset,"2025-07-05 20:29:38",,Sunset,,,,"9 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-05 03:42:17",,"Alos Hashachar",,,,"9 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-05 04:27:50",,"Earliest Tallis",,,,"9 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-05 05:29:44",,"Netz (Sunrise)",,,,"9 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-05 09:14:00",,"Latest Shema",,,,"9 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-05 10:29:42",,"Zman Tefillah",,,,"9 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-05 12:59:41",,"Chatzos (Midday)",,,,"9 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-05 13:37:10",,"Mincha Gedola",,,,"9 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-05 17:22:09",,"Mincha Ketana",,,,"9 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-05 18:55:53",,"Plag HaMincha",,,,"9 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-05 20:29:38",,"Shkiah (Sunset)",,,,"9 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-05 21:19:33",,"Tzais Hakochavim",,,,"9 Tammuz 5785",,,,,,,,,,
"Schedule Rule","2025-07-06 08:00:00",,Shacharis,,,,"10 Tammuz 5785",,,confirmed,,114843,,,,,
"Schedule Rule","2025-07-06 09:15:05",,"Zman Krias Shma",,,,"10 Tammuz 5785",,,confirmed,,114101,,,,,
"Schedule Rule","2025-07-06 20:15:22",,Mincha/Maariv,,,,"10 Tammuz 5785",,,confirmed,,77113,,,,,
"Schedule Rule","2025-07-06 20:29:00",,Shkia,,,,"10 Tammuz 5785",,,confirmed,,121564,,,,,
"Hebrew Date",2025-07-06,,"10 Tammuz 5785",,,,"10 Tammuz 5785",,,,,,,,,,
Sunrise,"2025-07-06 05:30:20",,Sunrise,,,,"10 Tammuz 5785",,,,,,,,,,
Sunset,"2025-07-06 20:29:22",,Sunset,,,,"10 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-06 03:43:10",,"Alos Hashachar",,,,"10 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-06 04:28:33",,"Earliest Tallis",,,,"10 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-06 05:30:20",,"Netz (Sunrise)",,,,"10 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-06 09:15:00",,"Latest Shema",,,,"10 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-06 10:30:00",,"Zman Tefillah",,,,"10 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-06 12:59:51",,"Chatzos (Midday)",,,,"10 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-06 13:37:18",,"Mincha Gedola",,,,"10 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-06 17:22:04",,"Mincha Ketana",,,,"10 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-06 18:55:43",,"Plag HaMincha",,,,"10 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-06 20:29:22",,"Shkiah (Sunset)",,,,"10 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-06 21:19:11",,"Tzais Hakochavim",,,,"10 Tammuz 5785",,,,,,,,,,
"Schedule Rule","2025-07-07 06:35:00",,Shacharis,,,,"11 Tammuz 5785",,,confirmed,,91904,,,,,
"Schedule Rule","2025-07-07 09:15:28",,"Zman Krias Shma",,,,"11 Tammuz 5785",,,confirmed,,114101,,,,,
"Schedule Rule","2025-07-07 20:29:00",,Shkia,,,,"11 Tammuz 5785",,,confirmed,,121564,,,,,
"Hebrew Date",2025-07-07,,"11 Tammuz 5785",,,,"11 Tammuz 5785",,,,,,,,,,
Sunrise,"2025-07-07 05:30:57",,Sunrise,,,,"11 Tammuz 5785",,,,,,,,,,
Sunset,"2025-07-07 20:29:03",,Sunset,,,,"11 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-07 03:44:04",,"Alos Hashachar",,,,"11 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-07 04:29:17",,"Earliest Tallis",,,,"11 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-07 05:30:57",,"Netz (Sunrise)",,,,"11 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-07 09:15:00",,"Latest Shema",,,,"11 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-07 10:30:19",,"Zman Tefillah",,,,"11 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-07 13:00:00",,"Chatzos (Midday)",,,,"11 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-07 13:37:25",,"Mincha Gedola",,,,"11 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-07 17:21:56",,"Mincha Ketana",,,,"11 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-07 18:55:29",,"Plag HaMincha",,,,"11 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-07 20:29:03",,"Shkiah (Sunset)",,,,"11 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-07 21:18:47",,"Tzais Hakochavim",,,,"11 Tammuz 5785",,,,,,,,,,
"Schedule Rule","2025-07-08 06:45:00",,Shacharis,,,,"12 Tammuz 5785",,,confirmed,,64852,,,,,
"Schedule Rule","2025-07-08 09:15:52",,"Zman Krias Shma",,,,"12 Tammuz 5785",,,confirmed,,114101,,,,,
"Schedule Rule","2025-07-08 20:28:00",,Shkia,,,,"12 Tammuz 5785",,,confirmed,,121564,,,,,
"Hebrew Date",2025-07-08,,"12 Tammuz 5785",,,,"12 Tammuz 5785",,,,,,,,,,
Sunrise,"2025-07-08 05:31:36",,Sunrise,,,,"12 Tammuz 5785",,,,,,,,,,
Sunset,"2025-07-08 20:28:43",,Sunset,,,,"12 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-08 03:45:00",,"Alos Hashachar",,,,"12 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-08 04:30:04",,"Earliest Tallis",,,,"12 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-08 05:31:36",,"Netz (Sunrise)",,,,"12 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-08 09:15:00",,"Latest Shema",,,,"12 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-08 10:30:38",,"Zman Tefillah",,,,"12 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-08 13:00:09",,"Chatzos (Midday)",,,,"12 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-08 13:37:32",,"Mincha Gedola",,,,"12 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-08 17:21:49",,"Mincha Ketana",,,,"12 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-08 18:55:16",,"Plag HaMincha",,,,"12 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-08 20:28:43",,"Shkiah (Sunset)",,,,"12 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-08 21:18:20",,"Tzais Hakochavim",,,,"12 Tammuz 5785",,,,,,,,,,
"Schedule Rule","2025-07-09 06:45:00",,Shacharis,,,,"13 Tammuz 5785",,,confirmed,,64852,,,,,
"Schedule Rule","2025-07-09 09:16:16",,"Zman Krias Shma",,,,"13 Tammuz 5785",,,confirmed,,114101,,,,,
"Schedule Rule","2025-07-09 20:28:00",,Shkia,,,,"13 Tammuz 5785",,,confirmed,,121564,,,,,
"Hebrew Date",2025-07-09,,"13 Tammuz 5785",,,,"13 Tammuz 5785",,,,,,,,,,
Sunrise,"2025-07-09 05:32:15",,Sunrise,,,,"13 Tammuz 5785",,,,,,,,,,
Sunset,"2025-07-09 20:28:20",,Sunset,,,,"13 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-09 03:45:59",,"Alos Hashachar",,,,"13 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-09 04:30:52",,"Earliest Tallis",,,,"13 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-09 05:32:15",,"Netz (Sunrise)",,,,"13 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-09 09:16:00",,"Latest Shema",,,,"13 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-09 10:30:56",,"Zman Tefillah",,,,"13 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-09 13:00:17",,"Chatzos (Midday)",,,,"13 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-09 13:37:37",,"Mincha Gedola",,,,"13 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-09 17:21:38",,"Mincha Ketana",,,,"13 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-09 18:54:59",,"Plag HaMincha",,,,"13 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-09 20:28:20",,"Shkiah (Sunset)",,,,"13 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-09 21:17:51",,"Tzais Hakochavim",,,,"13 Tammuz 5785",,,,,,,,,,
"Schedule Rule","2025-07-10 06:35:00",,Shacharis,,,,"14 Tammuz 5785",,,confirmed,,91904,,,,,
"Schedule Rule","2025-07-10 09:16:41",,"Zman Krias Shma",,,,"14 Tammuz 5785",,,confirmed,,114101,,,,,
"Schedule Rule","2025-07-10 20:27:00",,Shkia,,,,"14 Tammuz 5785",,,confirmed,,121564,,,,,
"Hebrew Date",2025-07-10,,"14 Tammuz 5785",,,,"14 Tammuz 5785",,,,,,,,,,
Sunrise,"2025-07-10 05:32:56",,Sunrise,,,,"14 Tammuz 5785",,,,,,,,,,
Sunset,"2025-07-10 20:27:56",,Sunset,,,,"14 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-10 03:46:59",,"Alos Hashachar",,,,"14 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-10 04:31:42",,"Earliest Tallis",,,,"14 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-10 05:32:56",,"Netz (Sunrise)",,,,"14 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-10 09:16:00",,"Latest Shema",,,,"14 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-10 10:31:16",,"Zman Tefillah",,,,"14 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-10 13:00:26",,"Chatzos (Midday)",,,,"14 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-10 13:37:43",,"Mincha Gedola",,,,"14 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-10 17:21:28",,"Mincha Ketana",,,,"14 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-10 18:54:42",,"Plag HaMincha",,,,"14 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-10 20:27:56",,"Shkiah (Sunset)",,,,"14 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-10 21:17:19",,"Tzais Hakochavim",,,,"14 Tammuz 5785",,,,,,,,,,
"Schedule Rule","2025-07-11 06:45:00",,Shacharis,,,,"15 Tammuz 5785",,,confirmed,,64851,,,,,
"Schedule Rule","2025-07-11 09:17:05",,"Zman Krias Shma",,,,"15 Tammuz 5785",,,confirmed,,114101,,,,,
"Schedule Rule","2025-07-11 18:55:00",,"Plag Mincha",,,,"15 Tammuz 5785",,,confirmed,,126932,,,,,
"Schedule Rule","2025-07-11 20:09:00",,Mincha,,,,"15 Tammuz 5785",,,confirmed,,107910,,,,,
"Schedule Rule","2025-07-11 20:09:00",,"Candle Lighting",,,,"15 Tammuz 5785",,,confirmed,,,,,,,
"Schedule Rule","2025-07-11 20:27:00",,Shkia,,,,"15 Tammuz 5785",,,confirmed,,121564,,,,,
"Hebrew Date",2025-07-11,,"15 Tammuz 5785",,,,"15 Tammuz 5785",,,,,,,,,,
Sunrise,"2025-07-11 05:33:38",,Sunrise,,,,"15 Tammuz 5785",,,,,,,,,,
Sunset,"2025-07-11 20:27:29",,Sunset,,,,"15 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-11 03:48:02",,"Alos Hashachar",,,,"15 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-11 04:32:33",,"Earliest Tallis",,,,"15 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-11 05:33:38",,"Netz (Sunrise)",,,,"15 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-11 09:17:00",,"Latest Shema",,,,"15 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-11 10:31:35",,"Zman Tefillah",,,,"15 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-11 13:00:33",,"Chatzos (Midday)",,,,"15 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-11 13:37:48",,"Mincha Gedola",,,,"15 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-11 17:21:15",,"Mincha Ketana",,,,"15 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-11 18:54:22",,"Plag HaMincha",,,,"15 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-11 20:27:29",,"Shkiah (Sunset)",,,,"15 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-11 21:16:46",,"Tzais Hakochavim",,,,"15 Tammuz 5785",,,,,,,,,,
"Schedule Rule","2025-07-12 08:45:00",,"Youth Groups",Youth,,,"16 Tammuz 5785",,,confirmed,,118947,,,,,
"Schedule Rule","2025-07-12 08:45:00",,Shacharis,,,,"16 Tammuz 5785",,,confirmed,,114844,,,,,
"Schedule Rule","2025-07-12 09:17:31",,"Zman Krias Shma",,,,"16 Tammuz 5785",,,confirmed,,114101,,,,,
"Schedule Rule","2025-07-12 10:15:00",,"Mommy and Me",Youth,,,"16 Tammuz 5785",,,confirmed,,118948,,,,,
"Schedule Rule","2025-07-12 19:30:00",,Mincha,,,,"16 Tammuz 5785",,,confirmed,,114102,,,,,
"Schedule Rule","2025-07-12 20:27:00",,Shkia,,,,"16 Tammuz 5785",,,confirmed,,121564,,,,,
"Schedule Rule","2025-07-12 20:45:00",,"Eretz Yisrael Seder",,,,"16 Tammuz 5785",,,confirmed,,126930,,,,,
"Schedule Rule","2025-07-12 21:17:00",,Maariv,,,,"16 Tammuz 5785",,,confirmed,,114104,,,,,
"Schedule Rule","2025-07-12 21:17:00",,Havdalah,,,,"16 Tammuz 5785",,,confirmed,,,,,,,
Parsha,2025-07-12,,"Parshas Balak",,,,"16 Tammuz 5785",,,,,,,,,,
"Hebrew Date",2025-07-12,,"16 Tammuz 5785",,,,"16 Tammuz 5785",,,,,,,,,,
Sunrise,"2025-07-12 05:34:21",,Sunrise,,,,"16 Tammuz 5785",,,,,,,,,,
Sunset,"2025-07-12 20:27:01",,Sunset,,,,"16 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-12 03:49:06",,"Alos Hashachar",,,,"16 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-12 04:33:26",,"Earliest Tallis",,,,"16 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-12 05:34:21",,"Netz (Sunrise)",,,,"16 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-12 09:17:00",,"Latest Shema",,,,"16 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-12 10:31:54",,"Zman Tefillah",,,,"16 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-12 13:00:41",,"Chatzos (Midday)",,,,"16 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-12 13:37:52",,"Mincha Gedola",,,,"16 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-12 17:21:02",,"Mincha Ketana",,,,"16 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-12 18:54:01",,"Plag HaMincha",,,,"16 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-12 20:27:01",,"Shkiah (Sunset)",,,,"16 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-12 21:16:10",,"Tzais Hakochavim",,,,"16 Tammuz 5785",,,,,,,,,,
"Schedule Rule","2025-07-13 08:00:00",,Shacharis,,,,"17 Tammuz 5785",,,confirmed,,37364,,,,,
"Schedule Rule","2025-07-13 09:17:57",,"Zman Krias Shma",,,"Sof Zman Krias Shma","17 Tammuz 5785",,,confirmed,,105997,,,,,
"Schedule Rule","2025-07-13 20:00:00",,Mincha,,,,"17 Tammuz 5785",,,confirmed,,105995,,,,,
"Schedule Rule","2025-07-13 20:26:00",,Shkia,,,,"17 Tammuz 5785",,,confirmed,,105996,,,,,
"Jewish Holiday",2025-07-13,,"Fast of Tammuz",,,,"17 Tammuz 5785",,,,,,,,,,
"Hebrew Date",2025-07-13,,"17 Tammuz 5785",,,,"17 Tammuz 5785",,,,,,,,,,
Sunrise,"2025-07-13 05:35:06",,Sunrise,,,,"17 Tammuz 5785",,,,,,,,,,
Sunset,"2025-07-13 20:26:30",,Sunset,,,,"17 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-13 03:50:12",,"Alos Hashachar",,,,"17 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-13 04:34:20",,"Earliest Tallis",,,,"17 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-13 05:35:06",,"Netz (Sunrise)",,,,"17 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-13 09:17:00",,"Latest Shema",,,,"17 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-13 10:32:14",,"Zman Tefillah",,,,"17 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-13 13:00:48",,"Chatzos (Midday)",,,,"17 Tammuz 5785",,,,,,,,,,
Zmanim,"2025-07-13 13:37:56",,"Mincha Gedola",,,,"17 Tammuz 5785",,,,,,,,,,
